2026/06/04 13:46:31 Listening on :8080
gc 93 @5.412s 1%: 1.2+0.41+0.018 ms clock, 29+0.72/5.0/0.027+0.44 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 94 @5.422s 1%: 0.39+1.5+0.074 ms clock, 9.3+2.4/3.9/0+1.7 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 95 @5.433s 1%: 0.54+1.4+0.022 ms clock, 13+3.6/4.6/0+0.55 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 96 @5.443s 1%: 0.20+3.0+0.069 ms clock, 5.0+4.5/8.1/0+1.6 ms cpu, 11->11->5 MB, 12 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 97 @5.455s 1%: 0.11+1.1+0.034 ms clock, 2.8+1.5/3.3/0.088+0.82 ms cpu, 11->11->5 MB, 12 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 98 @5.464s 1%: 0.13+0.68+0.007 ms clock, 3.2+1.1/3.2/0+0.17 ms cpu, 10->10->4 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 99 @5.471s 1%: 1.0+1.2+0.050 ms clock, 24+1.1/4.2/0.050+1.2 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 100 @5.483s 1%: 0.68+2.7+0.032 ms clock, 16+2.4/7.8/0+0.77 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 101 @5.494s 1%: 2.1+0.73+0.29 ms clock, 50+0.89/3.7/0+7.1 ms cpu, 11->11->5 MB, 12 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 102 @5.506s 1%: 0.10+1.6+0.049 ms clock, 2.5+0.61/4.5/0+1.1 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 103 @5.516s 1%: 0.32+1.7+0.038 ms clock, 7.8+3.1/5.4/0+0.91 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 104 @5.527s 1%: 0.12+1.5+0.023 ms clock, 2.9+0.66/4.1/0+0.57 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 105 @5.536s 1%: 1.4+0.96+0.019 ms clock, 34+1.4/3.8/0.31+0.46 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 106 @5.547s 1%: 0.28+0.89+0.012 ms clock, 6.7+3.0/2.1/0+0.30 ms cpu, 10->10->4 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 107 @5.557s 1%: 0.73+0.89+0.078 ms clock, 17+4.8/3.1/0+1.8 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 108 @5.566s 1%: 0.20+1.4+0.018 ms clock, 4.9+0.24/2.7/0+0.44 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 109 @5.576s 1%: 0.26+1.4+0.013 ms clock, 6.3+2.9/2.6/0+0.32 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 110 @5.585s 1%: 0.30+1.4+0.10 ms clock, 7.2+0.80/3.9/0+2.6 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 111 @5.595s 1%: 0.12+1.5+0.015 ms clock, 2.9+1.2/4.1/0+0.37 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 112 @5.605s 1%: 1.0+1.5+0.017 ms clock, 26+2.9/4.9/0+0.42 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 113 @5.616s 1%: 0.60+1.2+0.015 ms clock, 14+2.3/3.9/0+0.37 ms cpu, 11->11->5 MB, 12 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 114 @5.626s 1%: 0.98+1.1+0.015 ms clock, 23+0.63/5.0/0+0.37 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 115 @5.637s 1%: 0.11+1.8+0.039 ms clock, 2.6+1.3/4.8/0+0.95 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 116 @5.648s 1%: 0.24+1.9+0.018 ms clock, 5.8+1.1/4.8/0.023+0.43 ms cpu, 11->11->5 MB, 12 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 117 @5.659s 1%: 1.3+1.9+0.012 ms clock, 31+1.9/5.4/0+0.29 ms cpu, 10->11->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 118 @5.672s 1%: 0.17+1.2+0.20 ms clock, 4.1+3.6/4.4/0+4.9 ms cpu, 11->11->5 MB, 12 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 119 @5.681s 1%: 1.0+1.0+0.031 ms clock, 24+2.4/3.3/0+0.76 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
gc 120 @5.690s 1%: 1.1+1.9+0.024 ms clock, 27+0.32/2.8/0+0.58 ms cpu, 10->10->5 MB, 11 MB goal, 0 MB stacks, 0 MB globals, 24 P
