2026/06/04 13:38:03 Listening on :8080
gc 104 @9.828s 0%: 0.079+0.93+0.018 ms clock, 0.31+1.4/0.88/0+0.073 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 105 @9.843s 0%: 0.20+0.86+0.016 ms clock, 0.83+1.5/0.81/0+0.064 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 106 @9.859s 0%: 0.046+0.75+0.013 ms clock, 0.18+1.1/0.71/0+0.052 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 107 @9.873s 0%: 0.041+0.66+0.021 ms clock, 0.16+1.0/0.59/0+0.084 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 108 @9.889s 0%: 0.063+0.76+0.003 ms clock, 0.25+1.1/0.70/0+0.014 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 109 @9.904s 0%: 0.038+0.76+0.026 ms clock, 0.15+1.3/0.72/0+0.10 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 110 @9.918s 0%: 0.087+0.83+0.018 ms clock, 0.35+1.2/0.79/0+0.074 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 111 @9.935s 0%: 0.049+0.86+0.018 ms clock, 0.19+1.5/0.80/0+0.074 ms cpu, 8->8->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 112 @9.953s 0%: 0.049+0.90+0.016 ms clock, 0.19+1.3/0.85/0+0.067 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 113 @9.969s 0%: 0.089+0.87+0.016 ms clock, 0.35+1.2/0.80/0+0.066 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 114 @9.985s 0%: 0.073+0.96+0.017 ms clock, 0.29+1.5/0.90/0+0.069 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 115 @10.000s 0%: 0.079+0.88+0.029 ms clock, 0.31+1.2/0.83/0+0.11 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 116 @10.016s 0%: 0.065+0.89+0.016 ms clock, 0.26+1.3/0.84/0+0.067 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 117 @10.033s 0%: 0.055+1.0+0.028 ms clock, 0.22+1.6/0.96/0+0.11 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 118 @10.048s 0%: 0.052+1.0+0.030 ms clock, 0.20+1.5/0.81/0+0.12 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 119 @10.065s 0%: 0.066+0.76+0.010 ms clock, 0.26+1.1/0.72/0+0.040 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 120 @10.080s 0%: 0.044+0.86+0.056 ms clock, 0.17+1.4/0.81/0+0.22 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 121 @10.095s 0%: 0.10+0.76+0.018 ms clock, 0.41+1.2/0.71/0+0.073 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 122 @10.110s 0%: 0.036+0.96+0.022 ms clock, 0.14+1.1/0.89/0+0.090 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 123 @10.125s 0%: 0.052+0.89+0.013 ms clock, 0.21+1.3/0.85/0+0.054 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 124 @10.140s 0%: 0.070+0.82+0.022 ms clock, 0.28+1.1/0.76/0+0.089 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 125 @10.156s 0%: 0.087+0.79+0.024 ms clock, 0.35+1.1/0.74/0+0.096 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 126 @10.171s 0%: 0.025+0.81+0.015 ms clock, 0.10+1.1/0.77/0+0.062 ms cpu, 9->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 127 @10.187s 0%: 0.075+0.70+0.012 ms clock, 0.30+1.0/0.65/0+0.051 ms cpu, 8->9->4 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 4 P
